Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.4946949602122016,0,0.0,1,1e-07,5e-07
0.0,0.4850649350649351,0,0.0,1,1e-07,5e-07
345.31,0.4869679973606071,0,0.0,1,1e-07,5e-07
345.31,0.4926590538336052,0,0.0,1,1e-07,5e-07
603.942,0.4943896633798028,0,0.0,1,1e-07,5e-07
603.942,0.5248372730387119,0,0.0,1,1e-07,5e-07
862.574,0.5104377104377105,0,0.0,1,1e-07,5e-07
862.574,0.49966009517335147,0,0.0,1,1e-07,5e-07
1121.206,0.4969574036511156,0,0.0,1,1e-07,5e-07
1121.206,0.52311939268461,0,0.0,1,1e-07,5e-07
1379.838,0.4954314720812183,0,0.0,1,1e-07,5e-07
1379.838,0.5112529392005375,0,0.0,1,1e-07,5e-07
1638.47,0.49790940766550523,0,0.0,1,1e-07,5e-07
1638.47,0.5249494268374916,0,0.0,1,1e-07,5e-07
1897.102,0.4882154882154882,0,0.0,1,1e-07,5e-07
1897.102,0.4964447317388494,0,0.0,1,1e-07,5e-07
2155.734,0.5112680793810965,0,0.0,1,1e-07,5e-07
2155.734,0.5063903281519861,0,0.0,1,1e-07,5e-07
2414.366,0.4913294797687861,0,0.0,1,1e-07,5e-07
2414.366,0.5117901029558286,0,0.0,1,1e-07,5e-07
2672.998,0.5053003533568905,0,0.0,1,1e-07,5e-07
2672.998,0.5459649122807018,0,0.0,1,1e-07,5e-07
2931.63,0.4837595024187975,0,0.0,1,1e-07,5e-07
2931.63,0.5067092651757189,0,0.0,1,1e-07,5e-07
3190.262,0.4910853925555208,0,0.0,1,1e-07,5e-07
3190.262,0.4884442911348741,0,0.0,1,1e-07,5e-07
3448.894,0.4962737127371274,0,0.0,1,1e-07,5e-07
3448.894,0.48377862595419846,0,0.0,1,1e-07,5e-07
3707.526,0.4927169094363521,0,0.0,1,1e-07,5e-07
3707.526,0.48672566371681414,0,0.0,1,1e-07,5e-07
3966.158,0.4951162007409902,0,0.0,1,1e-07,5e-07
3966.158,0.48480972177806203,0,0.0,1,1e-07,5e-07
0.0,0.4749357326478149,0,1e-06,1,1e-07,5e-07
0.0,0.47963206307490147,0,1e-06,1,1e-07,5e-07
345.31,0.4805677593781683,0,1e-06,1,1e-07,5e-07
345.31,0.47813021702838066,0,1e-06,1,1e-07,5e-07
603.942,0.485591255382577,0,1e-06,1,1e-07,5e-07
603.942,0.5057551447506103,0,1e-06,1,1e-07,5e-07
862.574,0.4573490813648294,0,1e-06,1,1e-07,5e-07
862.574,0.4685362517099863,0,1e-06,1,1e-07,5e-07
1121.206,0.4949874686716792,0,1e-06,1,1e-07,5e-07
1121.206,0.4918032786885246,0,1e-06,1,1e-07,5e-07
1379.838,0.47003800058462436,0,1e-06,1,1e-07,5e-07
1379.838,0.49374427830332623,0,1e-06,1,1e-07,5e-07
