Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.4553745928338762,0,0.0,1,1e-07,5e-07
0.0,0.46657929226736566,0,0.0,1,1e-07,5e-07
345.31,0.4555112881806109,0,0.0,1,1e-07,5e-07
345.31,0.4662379421221865,0,0.0,1,1e-07,5e-07
603.942,0.4808397200933022,0,0.0,1,1e-07,5e-07
603.942,0.4760096651708664,0,0.0,1,1e-07,5e-07
862.574,0.46254927726675427,0,0.0,1,1e-07,5e-07
862.574,0.45938921377517866,0,0.0,1,1e-07,5e-07
1121.206,0.48325519089082386,0,0.0,1,1e-07,5e-07
1121.206,0.49747474747474746,0,0.0,1,1e-07,5e-07
1379.838,0.4613899613899614,0,0.0,1,1e-07,5e-07
1379.838,0.46051758460517583,0,0.0,1,1e-07,5e-07
1638.47,0.487248322147651,0,0.0,1,1e-07,5e-07
1638.47,0.49245147375988496,0,0.0,1,1e-07,5e-07
1897.102,0.48933092224231467,0,0.0,1,1e-07,5e-07
1897.102,0.49278765514927875,0,0.0,1,1e-07,5e-07
2155.734,0.4960440316477468,0,0.0,1,1e-07,5e-07
2155.734,0.49092849519743864,0,0.0,1,1e-07,5e-07
2414.366,0.4920581277458601,0,0.0,1,1e-07,5e-07
2414.366,0.48251501236312255,0,0.0,1,1e-07,5e-07
2672.998,0.5191396281443674,0,0.0,1,1e-07,5e-07
2672.998,0.5395600154380548,0,0.0,1,1e-07,5e-07
2931.63,0.5209003215434084,0,0.0,1,1e-07,5e-07
2931.63,0.5168624478969307,0,0.0,1,1e-07,5e-07
3190.262,0.502868068833652,0,0.0,1,1e-07,5e-07
3190.262,0.4920886075949367,0,0.0,1,1e-07,5e-07
3448.894,0.4819569743233865,0,0.0,1,1e-07,5e-07
3448.894,0.46106821106821105,0,0.0,1,1e-07,5e-07
3707.526,0.45844686648501365,0,0.0,1,1e-07,5e-07
3707.526,0.4632768361581921,0,0.0,1,1e-07,5e-07
3966.158,0.4664905909541103,0,0.0,1,1e-07,5e-07
3966.158,0.4555447785321694,0,0.0,1,1e-07,5e-07
